Distric Number,District,% Eco Disadvantaged,2020 4-Year Graduation Rate,2020 Dropout Rate
34901,ATLANTA ISD ,69.3,99.2,0
34902,AVINGER ISD ,82.9,100,0
34903,HUGHES SPRINGS ISD ,53.3,100,0
34905,LINDEN-KILDARE CISD ,62.3,98.3,1.3
34906,MCLEOD ISD ,40,100,0.8
34907,QUEEN CITY ISD ,58.1,100,0
34909,BLOOMBURG ISD ,82.7,94.4,0
35901,DIMMITT ISD ,71.3,95.9,0.3
35902,HART ISD ,82.1,83.3,0
35903,NAZARETH ISD ,14,100,0
36901,ANAHUAC ISD ,46.3,97.3,0
36902,BARBERS HILL ISD ,24.5,98.9,0.2
36903,EAST CHAMBERS ISD ,56.8,99.1,0
37901,ALTO ISD ,78,100,0
37904,JACKSONVILLE ISD ,80.5,95.2,1.4
37907,RUSK ISD ,63.2,97.3,0.3
37908,NEW SUMMERFIELD ISD ,93.2,95,0
37909,WELLS ISD ,70.7,100,0
38901,CHILDRESS ISD ,63.8,96.7,1.4
39902,HENRIETTA ISD ,35.9,96.8,1
39903,PETROLIA CISD ,64.5,97.1,0.7
39904,BELLEVUE ISD ,54.5,90.9,2.1
39905,MIDWAY ISD ,69.7,100,0
40901,MORTON ISD ,81.3,88.5,2.4
40902,WHITEFACE CISD ,59.9,100,0
41901,BRONTE ISD ,46.7,100,0
41902,ROBERT LEE ISD ,67.5,100,1.4
42901,COLEMAN ISD ,56.7,89.8,0.8
42903,SANTA ANNA ISD ,97,100,0
42905,PANTHER CREEK CISD ,68.6,100,0
43801,IMAGINE INTERNATIONAL ACADEMY OF N ,8.5,97.7,0
43802,LONE STAR LANGUAGE ACADEMY ,0,,
43901,ALLEN ISD ,22.6,98.4,0.3
43902,ANNA ISD ,48.5,91.9,0.6
43903,CELINA ISD ,19.5,98,0.2
43904,FARMERSVILLE ISD ,53.5,96.6,0.3
43905,FRISCO ISD ,13,98.3,0.1
43907,MCKINNEY ISD ,33.2,97.6,0.4
43908,MELISSA ISD ,15.4,99.5,0
43910,PLANO ISD ,35.6,96.1,0.5
43911,PRINCETON ISD ,51,95,0.7
43912,PROSPER ISD ,8.5,98.4,0
43914,WYLIE ISD ,26.9,98.8,0.3
43917,BLUE RIDGE ISD ,43.4,92.7,0.4
43918,COMMUNITY ISD ,47.8,98.7,0.4
43919,LOVEJOY ISD ,3.5,100,0
44902,WELLINGTON ISD ,65.5,100,0
45902,COLUMBUS ISD ,54,97.3,1
45903,RICE CISD ,76.7,85.7,0.9
45905,WEIMAR ISD ,58.2,98,0.5
46802,TRINITY CHARTER SCHOOL ,100,0,0
46901,NEW BRAUNFELS ISD ,40.2,96.3,0.8
46902,COMAL ISD ,31.2,97,0.4
47901,COMANCHE ISD ,67.2,100,0
47902,DE LEON ISD ,62.1,97.7,0
47903,GUSTINE ISD ,67.3,100,0
47905,SIDNEY ISD ,67.4,100,0
48901,EDEN CISD ,60.3,100,0
48903,PAINT ROCK ISD ,72.5,100,0
49901,GAINESVILLE ISD ,73.9,94,0.5
49902,MUENSTER ISD ,17.9,100,0
49903,VALLEY VIEW ISD ,45.5,96.4,0.4
49905,CALLISBURG ISD ,42,98.7,0
49906,ERA ISD ,36.4,97.7,0
49907,LINDSAY ISD ,9.9,100,0
49908,WALNUT BEND ISD ,63.8,,
49909,SIVELLS BEND ISD ,59.2,,
50901,EVANT ISD ,57.5,94.4,0
50902,GATESVILLE ISD ,60,92.7,0.8
50904,OGLESBY ISD ,60.5,92.9,0
50909,JONESBORO ISD ,56.2,90.5,0
50910,COPPERAS COVE ISD ,62,90.2,1.9
51901,PADUCAH ISD ,66.1,100,0
52901,CRANE ISD ,55.1,94.1,0.6
53001,CROCKETT COUNTY CONSOLIDATED CSD ,53.3,100,0
54901,CROSBYTON CISD ,78.5,93.3,0
54902,LORENZO ISD ,79.4,87.5,0
54903,RALLS ISD ,83.8,100,0.7
55901,CULBERSON COUNTY-ALLAMOORE ISD ,81.7,96.7,1.1
56901,DALHART ISD ,57.3,99.2,0
56902,TEXLINE ISD ,53,100,0
57802,PEGASUS SCHOOL OF LIBERAL ARTS AND ,86.8,100,0
57803,UPLIFT EDUCATION ,80.4,98.2,0.6
57804,TEXANS CAN ACADEMIES ,100,20.5,21.9
57805,LUMIN EDUCATION ,62.5,,
57806,ADVANTAGE ACADEMY ,81.4,100,1
57807,LIFE SCHOOL ,58.4,98.8,0.1
57808,UNIVERSAL ACADEMY ,26.8,92.9,0
57809,NOVA ACADEMY ,92.6,,
57810,ACADEMY OF DALLAS ,99.4,,
57813,TRINITY BASIN PREPARATORY ,90.3,,
57814,ACADEMY FOR ACADEMIC EXCELLENCE ,100,0,36.3
57816,A W BROWN LEADERSHIP ACADEMY ,95.2,,
