Distric Number,District,% Eco Disadvantaged,2020 4-Year Graduation Rate,2020 Dropout Rate
226903,SAN ANGELO ISD ,55.4,86.8,1.3
226905,WATER VALLEY ISD ,48.9,100,0
226906,WALL ISD ,16.2,100,0
226907,GRAPE CREEK ISD ,68.2,96.7,0.3
226908,VERIBEST ISD ,36.6,100,1.3
227506,UNIVERSITY OF TEXAS AT AUSTIN H S ,5.5,,0.8
227803,WAYSIDE SCHOOLS ,75.9,97.8,0.3
227804,NYOS CHARTER SCHOOL ,30.4,96.8,0.3
227805,TEXAS EMPOWERMENT ACADEMY ,75.4,,9.3
227806,UNIVERSITY OF TEXAS UNIVERSITY CHA ,58.1,24.3,5
227814,CHAPARRAL STAR ACADEMY ,8.6,92.3,0
227816,HARMONY SCIENCE ACADEMY (AUSTIN) ,63.2,96.2,0.8
227817,CEDARS INTERNATIONAL ACADEMY ,80.2,100,0
227819,UNIVERSITY OF TEXAS ELEMENTARY CHA ,55.5,,
227820,KIPP TEXAS PUBLIC SCHOOLS ,90.3,97.5,0.4
227821,AUSTIN DISCOVERY SCHOOL ,19.2,,
227824,PROMESA PUBLIC SCHOOLS ,91.1,96.7,0
227825,AUSTIN ACHIEVE PUBLIC SCHOOLS ,91.6,,1.6
227826,MONTESSORI FOR ALL ,49.9,,
227827,THE EXCEL CENTER (FOR ADULTS) ,92.3,26.1,47.5
227829,VALOR PUBLIC SCHOOLS ,20.2,,0
227901,AUSTIN ISD ,51.9,94.4,0.7
227904,PFLUGERVILLE ISD ,47.8,96.9,0.4
227907,MANOR ISD ,76.7,87.7,1.9
227909,EANES ISD ,3.3,99.6,0
227910,DEL VALLE ISD ,88.9,92.2,1
227912,LAGO VISTA ISD ,25.8,97,0.9
227913,LAKE TRAVIS ISD ,9.7,97.7,0.1
228901,GROVETON ISD ,66.4,94,0.4
228903,TRINITY ISD ,83.8,92.9,1.9
228904,CENTERVILLE ISD ,64.5,100,0
228905,APPLE SPRINGS ISD ,60,100,0
229901,COLMESNEIL ISD ,66.4,100,0
229903,WOODVILLE ISD ,70.6,91.6,1.7
229904,WARREN ISD ,62.5,95.8,0
229905,SPURGER ISD ,57.9,87.9,1.7
229906,CHESTER ISD ,59.7,100,0
230901,BIG SANDY ISD ,67.8,98,0
230902,GILMER ISD ,81.3,92.2,1.3
230903,ORE CITY ISD ,67,96.7,0
230904,UNION HILL ISD ,61.9,100,0
230905,HARMONY ISD ,52.8,96.9,0.3
230906,NEW DIANA ISD ,40.1,94.8,1.1
230908,UNION GROVE ISD ,46.2,95.8,0.4
231901,MCCAMEY ISD ,68.2,100,0
231902,RANKIN ISD ,43.3,93.8,1
232901,KNIPPA ISD ,37.1,91.7,0
232902,SABINAL ISD ,64.4,95.3,0.6
232903,UVALDE CISD ,79.7,86.9,2.4
232904,UTOPIA ISD ,40.8,100,0
233901,SAN FELIPE-DEL RIO CISD ,71.3,86.4,2.5
233903,COMSTOCK ISD ,34.2,100,0
234801,RANCH ACADEMY ,54.1,60,6.3
234902,CANTON ISD ,38.8,98.7,0
234903,EDGEWOOD ISD ,51.4,95.8,0
234904,GRAND SALINE ISD ,59.2,100,0
234905,MARTINS MILL ISD ,46.6,100,0
234906,VAN ISD ,52.3,95.7,0.9
234907,WILLS POINT ISD ,61.3,95.8,0.9
234909,FRUITVALE ISD ,68.8,100,0
235901,BLOOMINGTON ISD ,82.6,75,4.3
235902,VICTORIA ISD ,65.4,95.9,0.2
235904,NURSERY ISD ,53.2,,
236801,RAVEN SCHOOL ,100,18.7,4.8
236802,SAM HOUSTON STATE UNIVERSITY CHART ,20.8,,
236901,NEW WAVERLY ISD ,53.2,96.9,1.9
236902,HUNTSVILLE ISD ,56.3,89.4,2.2
237902,HEMPSTEAD ISD ,85.4,82.1,3
237904,WALLER ISD ,67.4,96.9,0.4
237905,ROYAL ISD ,75.1,91.7,2
238902,MONAHANS-WICKETT-PYOTE ISD ,55.7,93.7,0.7
238904,GRANDFALLS-ROYALTY ISD ,62.7,93.8,3.4
239901,BRENHAM ISD ,60.9,92.8,0.4
239903,BURTON ISD ,52.6,96.4,0
240801,TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO ,88.4,74.5,0
240901,LAREDO ISD ,96.6,96,0.5
240903,UNITED ISD ,75.2,96.6,0.5
240904,WEBB CISD ,83.6,94.7,0
241901,BOLING ISD ,53.2,100,0
241902,EAST BERNARD ISD ,37.9,98.7,0
241903,EL CAMPO ISD ,73.9,97.2,0.6
241904,WHARTON ISD ,78.3,94.7,2.7
241906,LOUISE ISD ,64.8,100,0
242902,SHAMROCK ISD ,58.8,89.3,1.5
242903,WHEELER ISD ,55.6,100,0
242905,KELTON ISD ,61.3,100,0
242906,FORT ELLIOTT CISD ,36.1,100,0
243901,BURKBURNETT ISD ,46.8,91.5,1.2
243902,ELECTRA ISD ,67.6,88,2.2
243903,IOWA PARK CISD ,40.9,93.7,0.9
243905,WICHITA FALLS ISD ,59.8,97.8,0
243906,CITY VIEW ISD ,73.5,92.9,0.9
244901,HARROLD ISD ,54.2,100,0
244903,VERNON ISD ,62.5,94.1,2
244905,NORTHSIDE ISD ,31.1,100,0
245901,LASARA ISD ,85,90,1.1
245902,LYFORD CISD ,81.7,99.2,0
245903,RAYMONDVILLE ISD ,89.2,95.9,0.8
245904,SAN PERLITA ISD ,87.5,95.5,0
246801,MERIDIAN WORLD SCHOOL LLC ,8.9,100,1.7
246802,GOODWATER MONTESSORI SCHOOL ,38,,
246902,FLORENCE ISD ,59.3,96.2,0.3
246904,GEORGETOWN ISD ,37.3,96,0.2
246905,GRANGER ISD ,57.7,100,0.7
246906,HUTTO ISD ,42.3,93.9,0.7
246907,JARRELL ISD ,41.7,99.1,0.5
246908,LIBERTY HILL ISD ,21.6,96.8,0.2
246909,ROUND ROCK ISD ,23.6,96.2,0.4
246911,TAYLOR ISD ,68.6,92.8,1
246912,THRALL ISD ,29,100,0.5
246913,LEANDER ISD ,18,98.6,0.1
246914,COUPLAND ISD ,49.7,,
247901,FLORESVILLE ISD ,54.1,91.8,1.9
247903,LA VERNIA ISD ,26.6,97.7,0.5
247904,POTH ISD ,34.8,100,0.8
247906,STOCKDALE ISD ,46,98.4,0.4
248901,KERMIT ISD ,70.1,94.7,0
248902,WINK-LOVING ISD ,31,100,0
249901,ALVORD ISD ,41.9,100,0
249902,BOYD ISD ,49.6,96.4,0.7
249903,BRIDGEPORT ISD ,65.3,94.8,1.5
249904,CHICO ISD ,65.5,100,2.3
249905,DECATUR ISD ,48.1,98.1,0.5
249906,PARADISE ISD ,28.2,98.9,0
249908,SLIDELL ISD ,40.5,100,0
250902,HAWKINS ISD ,53,95.1,0.8
250903,MINEOLA ISD ,61.1,97.2,0.8
250904,QUITMAN ISD ,70.5,97.3,0
250905,YANTIS ISD ,70.4,88,0
250906,ALBA-GOLDEN ISD ,54,98.2,0.4
250907,WINNSBORO ISD ,56.1,98.1,0
251901,DENVER CITY ISD ,62,97.2,0.4
251902,PLAINS ISD ,70,96.2,0.8
252901,GRAHAM ISD ,55.7,98.1,0
252902,NEWCASTLE ISD ,62.4,100,0
252903,OLNEY ISD ,56.3,97.3,3.3
253901,ZAPATA COUNTY ISD ,88,96.6,1
254901,CRYSTAL CITY ISD ,83.3,97,0.2
254902,LA PRYOR ISD ,88.9,93,0
